"id_experiment","id_parameter","nr_algorithm_iteration","nr_function_iteration","nr_task","vl_total_execution_time","vl_inter_task_execution_time","vl_intra_task_execution_time_full_func","vl_intra_task_execution_time_device_func","vl_communication_time_1","vl_communication_time_2","vl_additional_time_1","vl_additional_time_2","dt_processing"
"5756","64","15","0","350",NULL,NULL,"0.0761782191912643","0.0212535991668701","0.0350380910094827","0.0198865290149115","0","0","2023-12-17 19:29:43.914923"
"5757","64","15","0","479",NULL,NULL,"0.0708339318498037","0.0210853118896484","0.0301040899939835","0.0196445299661718","0","0","2023-12-17 19:29:43.921105"
"5758","64","15","0","398",NULL,NULL,"0.0722032999629154","0.0219785919189453","0.0303727210266515","0.0198519870173186","0","0","2023-12-17 19:29:43.922553"
"5759","64","15","0","127",NULL,NULL,"0.0727364706746301","0.021689504623413","0.0310186740243807","0.0200282920268364","0","0","2023-12-17 19:29:43.924114"
"5760","64","15","0","110",NULL,NULL,"0.0763825465287081","0.0213897285461425","0.0348838809877634","0.0201089369948022","0","0","2023-12-17 19:29:43.928407"
"5761","64","15","0","382",NULL,NULL,"0.0756601630942895","0.0218015670776367","0.0344891190179623","0.0193694769986905","0","0","2023-12-17 19:29:43.921979"
"5762","64","15","0","365",NULL,NULL,"0.0703452389980665","0.021382432937622","0.0295423160423524","0.019420490018092","0","0","2023-12-17 19:29:43.920243"
"5763","64","15","0","511",NULL,NULL,"0.0714999540629796","0.0217189750671386","0.0293555720127187","0.0204254069831222","0","0","2023-12-17 19:29:43.928238"
"5764","64","15","0","495",NULL,NULL,"0.0757745838523842","0.0219824638366699","0.0327476470265537","0.0210444729891605","0","0","2023-12-17 19:29:43.929851"
"5765","64","15","0","334",NULL,NULL,"0.0656679890896193","0.0211822071075439","0.025734041002579","0.0187517409794963","0","0","2023-12-17 19:29:44.101032"
"5766","64","15","0","463",NULL,NULL,"0.0666219255556352","0.0214055995941162","0.026405882963445","0.0188104429980739","0","0","2023-12-17 19:29:44.235812"
"5767","64","15","0","608",NULL,NULL,"0.0712674631439149","0.0215479679107666","0.0309857972897589","0.0187336979433894","0","0","2023-12-17 19:29:44.257586"
"5768","64","15","0","593",NULL,NULL,"0.0712036353349684","0.0218622398376464","0.0298419315367937","0.0194994639605283","0","0","2023-12-17 19:29:44.442751"
"5769","64","15","0","143",NULL,NULL,"0.0717377293854951","0.0211719036102294","0.0301757249981164","0.0203901007771492","0","0","2023-12-17 19:29:44.572417"
"5770","64","15","0","624",NULL,NULL,"0.0810667495839296","0.0216499195098876","0.0390894352458417","0.0203273948282003","0","0","2023-12-17 19:29:45.272099"
"5771","64","15","0","529",NULL,NULL,"0.0807024898529052","0.0215737285614013","0.0391755010932683","0.0199532601982355","0","0","2023-12-17 19:29:45.279952"
"5772","64","15","0","47",NULL,NULL,"0.0780417751818894","0.0218402557373046","0.0339542459696531","0.0222472734749317","0","0","2023-12-17 19:29:45.284616"
"5773","64","15","0","174",NULL,NULL,"0.0718447285741566","0.0215523204803466","0.0297214668244123","0.0205709412693977","0","0","2023-12-17 19:29:45.418404"
"5774","64","15","0","190",NULL,NULL,"0.0671004080623387","0.0215633926391601","0.0263386331498622","0.0191983822733163","0","0","2023-12-17 19:29:45.51281"
"5775","64","15","0","159",NULL,NULL,"0.0672070757150649","0.0218911991119384","0.0261793285608291","0.0191365480422973","0","0","2023-12-17 19:29:45.530714"
