"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"14528","2600","2","1","2","28","18","18","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14529","2600","1","1","1","28","18","18","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14530","2600","2","1","2","28","18","18","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14531","2600","1","1","1","28","18","18","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14532","2600","2","1","2","28","18","18","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14533","2600","1","1","1","28","18","18","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14534","2600","2","1","2","28","18","18","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14535","2600","1","1","1","28","18","18","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14536","2600","2","1","2","28","18","18","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14537","2600","1","1","1","28","18","18","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14538","2600","2","1","2","28","18","18","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14539","2600","1","1","1","28","18","18","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14540","2600","2","1","2","28","18","18","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14541","2601","1","1","1","29","18","18","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14542","2601","2","1","2","29","18","18","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14543","2601","1","1","1","29","18","18","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14544","2601","2","1","2","29","18","18","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14545","2601","1","1","1","29","18","18","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14546","2601","2","1","2","29","18","18","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14547","2601","1","1","1","29","18","18","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14548","2601","2","1","2","29","18","18","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14549","2601","1","1","1","29","18","18","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14550","2601","2","1","2","29","18","18","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14551","2601","1","1","1","29","18","18","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14552","2601","2","1","2","29","18","18","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14553","2601","1","1","1","29","18","18","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14554","2601","2","1","2","29","18","18","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14555","2601","1","1","1","29","18","18","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14556","2601","2","1","2","29","18","18","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14557","2601","1","1","1","29","18","18","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14558","2601","2","1","2","29","18","18","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14613","2605","1","1","1","27","18","19","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14614","2605","2","1","2","27","18","19","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14615","2605","1","1","1","27","18","19","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14616","2605","2","1","2","27","18","19","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14617","2605","1","1","1","27","18","19","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14618","2605","2","1","2","27","18","19","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14619","2605","1","1","1","27","18","19","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14620","2605","2","1","2","27","18","19","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14621","2605","1","1","1","27","18","19","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14622","2605","2","1","2","27","18","19","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14623","2605","1","1","1","27","18","19","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14624","2605","2","1","2","27","18","19","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14625","2605","1","1","1","27","18","19","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14626","2605","2","1","2","27","18","19","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14627","2605","1","1","1","27","18","19","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14628","2605","2","1","2","27","18","19","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14629","2605","1","1","1","27","18","19","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14630","2605","2","1","2","27","18","19","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14631","2606","1","1","1","28","18","19","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14632","2606","2","1","2","28","18","19","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14633","2606","1","1","1","28","18","19","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14634","2606","2","1","2","28","18","19","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14635","2606","1","1","1","28","18","19","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14636","2606","2","1","2","28","18","19","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14637","2606","1","1","1","28","18","19","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14638","2606","2","1","2","28","18","19","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14639","2606","1","1","1","28","18","19","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14640","2606","2","1","2","28","18","19","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14641","2606","1","1","1","28","18","19","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14642","2606","2","1","2","28","18","19","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14643","2606","1","1","1","28","18","19","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14644","2606","2","1","2","28","18","19","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14645","2606","1","1","1","28","18","19","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14646","2606","2","1","2","28","18","19","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14647","2606","1","1","1","28","18","19","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14648","2606","2","1","2","28","18","19","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14649","2607","1","1","1","29","18","19","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14650","2607","2","1","2","29","18","19","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14651","2607","1","1","1","29","18","19","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14652","2607","2","1","2","29","18","19","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14653","2607","1","1","1","29","18","19","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14654","2607","2","1","2","29","18","19","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
