"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"308","2","4","1","4","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"309","2","1","1","1","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"310","2","1","1","3","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"311","2","4","1","2","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"312","2","4","1","4","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"313","2","1","1","1","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"314","2","1","1","3","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"315","2","4","1","2","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"316","2","4","1","4","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"317","2","1","1","1","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"318","2","1","1","3","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"319","2","4","1","2","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"320","2","4","1","4","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"321","2","1","1","1","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"322","2","1","1","3","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"323","2","4","1","2","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"324","2","4","1","4","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"325","2","1","1","1","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"326","2","1","1","3","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"327","2","4","1","2","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"328","2","4","1","4","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"329","2","1","1","1","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"330","2","1","1","3","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"331","2","4","1","2","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"332","2","4","1","4","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"333","2","1","1","1","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"334","2","1","1","3","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"335","2","4","1","2","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"336","2","4","1","4","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"337","2","1","1","1","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"338","2","1","1","3","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"339","2","4","1","2","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"340","2","4","1","4","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"341","2","1","1","1","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"342","2","1","1","3","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"343","2","4","1","2","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"344","2","4","1","4","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"345","2","1","1","1","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"346","2","1","1","3","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"347","2","4","1","2","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"348","2","4","1","4","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"349","2","1","1","1","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"350","2","1","1","3","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"351","2","4","1","2","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"352","2","4","1","4","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"353","2","1","1","1","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"354","2","1","1","3","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"355","2","4","1","2","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"356","2","4","1","4","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"357","2","1","1","1","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"358","2","1","1","3","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"359","2","4","1","2","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"360","2","4","1","4","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"793","5","1","1","1","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"794","5","1","1","3","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"795","5","4","1","2","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"796","5","4","1","4","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"797","5","1","1","1","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"798","5","1","1","3","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"799","5","4","1","2","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"800","5","4","1","4","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"801","5","1","1","1","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"802","5","1","1","3","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"803","5","4","1","2","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"804","5","4","1","4","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"805","5","1","1","1","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"806","5","1","1","3","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"807","5","4","1","2","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"808","5","4","1","4","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"809","5","1","1","1","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"810","5","1","1","3","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"811","5","4","1","2","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"812","5","4","1","4","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"813","5","1","1","1","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"814","5","1","1","3","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"815","5","4","1","2","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"816","5","4","1","4","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"817","5","1","1","1","8","1","1","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"818","5","1","1","3","8","1","1","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"819","5","4","1","2","8","1","1","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"820","5","4","1","4","8","1","1","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"821","5","1","1","1","8","1","1","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"822","5","1","1","3","8","1","1","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"823","5","4","1","2","8","1","1","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"824","5","4","1","4","8","1","1","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"825","5","1","1","1","8","1","1","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"826","5","1","1","3","8","1","1","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"827","5","4","1","2","8","1","1","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"828","5","4","1","4","8","1","1","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"973","6","1","1","1","8","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"974","6","1","1","3","8","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"975","6","4","1","2","8","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"976","6","4","1","4","8","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"977","6","1","1","1","8","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"978","6","1","1","3","8","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"979","6","4","1","2","8","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"980","6","4","1","4","8","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"981","6","1","1","1","8","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"982","6","1","1","3","8","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"983","6","4","1","2","8","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"984","6","4","1","4","8","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"985","6","1","1","1","8","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"986","6","1","1","3","8","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"987","6","4","1","2","8","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"988","6","4","1","4","8","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"989","6","1","1","1","8","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"990","6","1","1","3","8","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"991","6","4","1","2","8","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"992","6","4","1","4","8","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"993","6","1","1","1","8","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"994","6","1","1","3","8","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"995","6","4","1","2","8","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"996","6","4","1","4","8","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"997","6","1","1","1","8","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"998","6","1","1","3","8","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"999","6","4","1","2","8","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"1000","6","4","1","4","8","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"1001","6","1","1","1","8","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1002","6","1","1","3","8","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1003","6","4","1","2","8","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1004","6","4","1","4","8","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1005","6","1","1","1","8","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1006","6","1","1","3","8","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1007","6","4","1","2","8","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1008","6","4","1","4","8","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1513","9","1","1","1","8","1","5","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1514","9","1","1","3","8","1","5","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1515","9","4","1","2","8","1","5","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1516","9","4","1","4","8","1","5","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1517","9","1","1","1","8","1","5","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"1518","9","1","1","3","8","1","5","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"1519","9","4","1","2","8","1","5","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"1520","9","4","1","4","8","1","5","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"1521","9","1","1","1","8","1","5","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"1522","9","1","1","3","8","1","5","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"1523","9","4","1","2","8","1","5","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"1524","9","4","1","4","8","1","5","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"1525","9","1","1","1","8","1","5","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"1526","9","1","1","3","8","1","5","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"1527","9","4","1","2","8","1","5","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"1528","9","4","1","4","8","1","5","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"1529","9","1","1","1","8","1","5","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"1530","9","1","1","3","8","1","5","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"1531","9","4","1","2","8","1","5","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"1532","9","4","1","4","8","1","5","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"1533","9","1","1","1","8","1","5","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"1534","9","1","1","3","8","1","5","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"1535","9","4","1","2","8","1","5","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"1536","9","4","1","4","8","1","5","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"1537","9","1","1","1","8","1","5","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"1538","9","1","1","3","8","1","5","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"1539","9","4","1","2","8","1","5","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"1540","9","4","1","4","8","1","5","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"1541","9","1","1","1","8","1","5","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1542","9","1","1","3","8","1","5","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1543","9","4","1","2","8","1","5","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1544","9","4","1","4","8","1","5","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"1545","9","1","1","1","8","1","5","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1546","9","1","1","3","8","1","5","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1547","9","4","1","2","8","1","5","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1548","9","4","1","4","8","1","5","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"1693","10","1","1","1","8","1","6","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1694","10","1","1","3","8","1","6","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1695","10","4","1","2","8","1","6","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1696","10","4","1","4","8","1","6","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"1697","10","1","1","1","8","1","6","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"1698","10","1","1","3","8","1","6","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
