"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"353","2","1","1","1","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"354","2","1","1","3","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"355","2","4","1","2","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"356","2","4","1","4","5","1","2","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"357","2","1","1","1","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"358","2","1","1","3","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"359","2","4","1","2","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"360","2","4","1","4","5","1","2","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"793","5","1","1","1","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"794","5","1","1","3","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"795","5","4","1","2","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"796","5","4","1","4","8","1","1","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"797","5","1","1","1","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"798","5","1","1","3","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"799","5","4","1","2","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"800","5","4","1","4","8","1","1","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"801","5","1","1","1","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"802","5","1","1","3","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"803","5","4","1","2","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"804","5","4","1","4","8","1","1","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"805","5","1","1","1","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"806","5","1","1","3","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"807","5","4","1","2","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"808","5","4","1","4","8","1","1","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"809","5","1","1","1","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"810","5","1","1","3","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"811","5","4","1","2","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"812","5","4","1","4","8","1","1","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"813","5","1","1","1","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"814","5","1","1","3","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"815","5","4","1","2","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"816","5","4","1","4","8","1","1","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"817","5","1","1","1","8","1","1","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"818","5","1","1","3","8","1","1","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
